Name,Mortality,Original_Mortality,New_Mort,dnbr,Mortality_Qualitative,prefire_cover,new_cover,Veg_Assoc,elev,slope,temp,sr,precip,tpi,cwd,vpd_Aug,twi,Mean Aspect ,flow,area,southwestness,vpd_jan,fri,wind_speed,wind_direction,wind_exposition,elev_d,slope_d,temp_d,sr_d,precip_d,tpi_d,cwd_d,vpd_a_d,twi_d,area_d,vpd_j_d,elev_p,slope_p,temp_p,sr_p,precip_p,tpi_p,cwd_p,vpd_a_p,twi_p,area_p,vpd_j_p,landscape_position,cwd_2
1,0,None,low,0.175476,None,Moderate-High(50-75%),moderate,Chap,1137.572765,33.219561,35.041971,600835.3042,472.718159,-3.4664,1138.127391,48.385072,4.091498,61.592935,0.618153,6179.654724,0.999021261,13.315232,100,10.512772,306.3018,0.978949,10%,60%,100%,10%,10%,30%,10%,100%,30%,50%,100%,25%,75%,100%,25%,25%,50%,25%,100%,25%,50%,100%,Upmost ,1059.870445
2,0,None,low,0.22708,None,Moderate (25-50%),moderate_low,Chap,1152.342738,36.652173,34.886959,294761.5757,470.05104,-2.778458,1152.333743,48.290606,4.08252,21.806178,0.698575,3481.04409,-0.532114338,13.279799,100,11.349623,308.483186,0.989684,20%,80%,100%,10%,10%,40%,20%,100%,20%,30%,100%,25%,100%,100%,25%,25%,50%,25%,100%,25%,50%,100%,Midslope,1047.814478
3,1,Very Low,low,0.160672,Low,Moderate (25-50%),moderate_low,Chap,1171.523336,39.91354,34.695166,467908.3497,466.419397,-2.210553,1172.108662,47.650688,4.00941,52.908208,0.658962,30094.06414,-0.767538617,13.129065,100,12.698112,306.926787,1.001239,20%,100%,100%,10%,10%,50%,20%,100%,20%,90%,100%,25%,100%,100%,25%,25%,50%,25%,100%,25%,100%,100%,Midslope,1032.18759
4,5,High,high,0.257229,High,Moderate-High(50-75%),moderate,Chap,1133.500584,28.017006,34.974128,936412.8141,468.668032,-2.375696,1132.629826,48.401266,4.650119,171.399448,0.689571,5650.326292,-0.981341659,13.310187,100,11.172647,308.100303,0.963299,10%,30%,100%,20%,10%,50%,10%,100%,50%,50%,100%,25%,25%,100%,25%,25%,50%,25%,100%,50%,50%,100%,Midslope,1050.862086
5,5,High,high,0.306141,High,Moderate (25-50%),moderate_low,Chap,1123.490326,30.184518,34.836111,802898.8387,466.556502,-2.353055,1124.088251,48.143251,4.641102,97.477476,0.789093,18988.84371,-0.28405581,13.239335,100,12.009693,308.469341,0.952482,10%,40%,100%,10%,10%,50%,10%,100%,50%,80%,100%,25%,50%,100%,25%,25%,50%,25%,100%,50%,75%,100%,Midslope,1037.289038
26,0,None,low,-0.132673,None,Moderate (25-50%),moderate_low,Chap,1200.904532,27.133931,33.980149,2399245.663,533.594254,0.420795,1201.384728,44.863657,4.580173,269.82427,0.61651,1045.242029,0.665992459,12.414809,100,10.656407,300.099032,0.97498,20%,20%,90%,100%,20%,90%,20%,80%,50%,10%,100%,25%,25%,100%,100%,25%,100%,25%,100%,50%,25%,100%,Midslope,965.968614
28,1,Very Low,low,0.440952,Low,Moderate-High(50-75%),moderate,Chap,1204.582308,35.663538,34.451663,1285642.45,475.480483,-2.811169,1204.149748,46.042377,4.590563,237.339569,0.817406,14403.34541,0.974390574,12.792515,100,13.941349,305.895402,1.003419,20%,80%,90%,50%,10%,40%,20%,90%,50%,70%,100%,25%,75%,100%,50%,25%,50%,25%,100%,50%,75%,100%,Upmost with Drainage,1025.138116
29,5,High,high,0.556614,High,High (75-100%),high,Chap,1174.573811,31.882602,34.464154,1034576.414,476.503369,-2.596837,1174.485956,46.041864,5.048453,215.429293,0.893247,26353.40903,-0.98937124,12.805384,100,13.059639,304.429542,0.971468,20%,50%,90%,30%,10%,40%,20%,90%,70%,80%,100%,25%,50%,100%,25%,25%,50%,25%,100%,75%,100%,100%,Midslope with Drainage,1016.488589
30,2,Low,ml,0.462011,Low,Moderate-High(50-75%),moderate,Chap,1210.104412,33.243396,34.378174,1230355.222,484.413581,-1.218,1209.566036,45.869033,4.863598,275.1679,0.804715,23932.21402,0.995242609,12.771034,100,12.528635,305.104617,1.012093,30%,60%,90%,50%,10%,70%,30%,90%,60%,80%,100%,25%,75%,100%,50%,25%,75%,25%,100%,75%,100%,100%,Upmost with Drainage,1018.709307
31,5,High,high,0.70389,High,High (75-100%),high,Chap,1199.838809,35.073152,34.330488,717527.8097,488.453832,-0.347607,1199.560455,45.863236,4.296267,159.119899,0.900298,12642.19821,-0.995646544,12.767788,100,11.704195,304.334828,1.014352,20%,70%,90%,10%,20%,80%,20%,90%,30%,70%,100%,25%,75%,100%,25%,25%,100%,25%,100%,50%,75%,100%,Midslope ,1014.8168
35,0,None,low,0.138685,None,High (75-100%),high,Chap,1197.797974,39.048521,34.083782,832976.9308,521.153665,1.872502,1198.67841,45.190774,3.517406,107.356916,0.513229,2538.296198,-0.165870338,12.567378,100,10.726927,295.432613,1.019129,20%,90%,90%,10%,20%,100%,20%,90%,10%,30%,100%,25%,100%,100%,25%,25%,100%,25%,100%,25%,25%,100%,Upmost ,1019.065956
36,0,None,low,0.137873,None,Moderate-High(50-75%),moderate,Chap,1182.323561,39.444299,34.079785,2521718.938,521.859968,4.001003,1183.575928,45.164252,3.710576,96.837563,0.494709,1068.997968,-0.800383423,12.559812,100,10.563011,294.614692,0.980435,20%,100%,90%,100%,20%,100%,20%,90%,10%,10%,100%,25%,100%,100%,100%,25%,100%,25%,100%,25%,25%,100%,Midslope ,1024.214844
37,0,None,low,0.2101,None,Moderate-High(50-75%),moderate,Chap/Oak,1194.618059,31.50121,34.014469,2115001.03,529.97073,-1.465984,1195.119707,44.962183,4.339392,75.246686,0.714755,4785.340052,0.503515543,12.495441,100,10.24693,299.528071,0.968223,20%,50%,90%,90%,20%,60%,20%,90%,40%,40%,100%,25%,50%,100%,100%,25%,75%,25%,100%,50%,50%,100%,Midslope ,992.670658
38,0,None,low,0.354909,None,Moderate (25-50%),moderate_low,Chap,1244.198926,37.709598,33.874043,2474893.908,542.142122,-2.309627,1246.03693,44.632584,3.667814,113.041585,0.530251,1389.940125,0.418575104,12.342031,100,10.20897,304.751678,1.010978,30%,90%,80%,100%,20%,50%,30%,80%,10%,20%,100%,50%,100%,100%,100%,25%,50%,50%,100%,25%,25%,100%,Midslope with Drainage,987.825964
39,5,High,high,0.350792,High,Moderate-High(50-75%),moderate,Chap,1184.101286,24.932137,33.926187,1034779.135,535.315107,-4.903269,1183.74184,44.949018,7.359914,160.420395,1.356463,4164.361863,-0.176033536,12.486337,100,10.619252,292.783557,0.932117,20%,20%,80%,30%,20%,20%,20%,90%,100%,40%,100%,25%,25%,100%,25%,25%,25%,25%,100%,100%,50%,100%,Midslope with Drainage,994.912141
40,3,Moderate,moderate,0.29421,Moderate,Moderate-High(50-75%),moderate,Chap,1286.517059,27.566371,33.757934,1129916.67,549.059803,-4.933759,1286.564508,44.487597,5.964628,245.203712,1.118278,6136.337056,0.214949624,12.273279,100,11.043728,298.913432,1.025861,40%,20%,80%,40%,30%,20%,40%,80%,90%,50%,100%,50%,25%,100%,50%,25%,25%,50%,100%,100%,50%,100%,Upmost ,981.447461
43,0,None,low,0.046483,None,Moderate (25-50%),moderate_low,Chap/Oak,1238.140291,32.62673,33.834007,2132210.754,543.95855,-1.584756,1237.106824,44.595468,4.49439,276.774776,0.731416,18404.65416,0.061464018,12.267485,100,10.934023,301.440539,1.001396,30%,50%,80%,90%,30%,60%,30%,80%,40%,70%,100%,50%,50%,100%,100%,25%,75%,50%,100%,50%,75%,100%,Midslope with Drainage,952.626567
44,0,None,low,0.004914,None,Moderate-High(50-75%),moderate,Chap/Oak,1256.636622,39.23116,33.694083,1120920.061,554.065921,1.694259,1256.051636,44.216002,3.382026,335.976087,0.419054,3402.590811,-0.523072689,12.119484,100,10.453246,301.869639,1.043294,40%,100%,80%,40%,30%,100%,40%,80%,10%,30%,90%,50%,100%,75%,50%,25%,100%,50%,100%,25%,50%,100%,Upmost ,950.202543
45,1,Very Low,low,0.237745,Low,Moderate (25-50%),moderate_low,Chap,1223.010242,34.882517,33.743781,1337082.127,550.854283,-0.379783,1222.404252,44.347481,4.076658,38.212797,0.676769,2765.812387,-0.137126464,12.198921,100,10.12312,306.899834,0.987106,30%,70%,80%,60%,30%,80%,30%,80%,20%,30%,90%,25%,75%,100%,75%,25%,100%,25%,100%,25%,25%,100%,Midslope ,966.106919
46,0,None,low,0.232852,None,Moderate (25-50%),moderate_low,Chap,1254.184868,36.655694,33.755406,2363446.167,550.250814,-5.204522,1256.437263,44.395652,5.470054,93.574983,0.759116,1552.450215,0.866886278,12.221629,100,10.515346,303.641234,0.991408,40%,80%,80%,100%,30%,20%,40%,80%,80%,20%,90%,50%,100%,100%,100%,25%,25%,50%,100%,100%,25%,100%,Upmost with Drainage,979.443899
47,5,High,high,0.250763,High,Moderate-High(50-75%),moderate,Chap,1225.112028,33.860386,33.753067,1356847.898,550.298389,-8.71688,1225.941392,44.376405,4.835937,38.36945,1.05197,2211.22703,-0.28998665,12.213118,100,10.312859,305.332565,0.97456,30%,60%,80%,60%,30%,10%,30%,80%,60%,30%,90%,25%,75%,100%,75%,25%,25%,25%,100%,75%,25%,100%,Midslope ,972.554733
52,2,Low,ml,-0.00066,Low,Moderate-High(50-75%),moderate,Chap,1301.211445,37.050273,33.378128,830636.8945,576.062665,0.251063,1302.94932,43.286266,2.92401,42.607038,0.317731,2062.479573,0.983738237,11.829913,100,10.350114,288.219421,1.050748,50%,90%,70%,10%,30%,90%,50%,70%,10%,20%,90%,50%,100%,75%,25%,50%,100%,50%,75%,25%,25%,100%,Upmost with Drainage,910.654569
68,2,Low,ml,-0.045415,Low,Moderate (25-50%),moderate_low,Chap/Oak,1513.450995,33.057819,31.68062,873538.9087,720.6456,-1.149476,1513.234349,37.217832,4.286028,207.365027,0.764225,19368.79451,0.348727854,10.01937,100,11.476803,298.306417,1.145749,90%,60%,30%,20%,60%,70%,90%,40%,30%,80%,50%,100%,75%,50%,25%,75%,75%,100%,50%,50%,75%,50%,Upmost ,790.630607
69,0,None,low,-0.038853,None,Moderate-High(50-75%),moderate,Chap/Oak,1355.921921,31.110848,32.581945,1161780.55,635.579321,-8.091073,1355.531723,40.378525,4.985225,311.578579,1.050099,8742.170179,0.183731292,10.878966,100,11.038987,294.192445,1.043387,60%,40%,50%,40%,40%,10%,60%,60%,60%,60%,70%,75%,50%,50%,50%,50%,25%,75%,75%,75%,75%,75%,Upmost ,868.816237
70,1,Very Low,low,0.15176,Low,High (75-100%),high,Chap/Oak,1391.3746,32.609172,32.028443,1480540.937,680.950647,-2.528271,1391.273718,38.456061,5.070126,162.362104,0.973074,98683.63704,0.981249221,10.299036,100,11.559701,296.063629,1.033819,70%,50%,40%,70%,50%,40%,70%,40%,70%,100%,60%,75%,50%,50%,75%,50%,50%,75%,50%,75%,100%,75%,Upmost with Drainage,826.785718
71,0,None,low,0.260576,None,Moderate-High(50-75%),moderate,Chap/Oak,1386.572306,30.016088,31.866435,1603243.668,707.78509,-1.628528,1386.412189,38.060763,5.01858,218.140447,0.892829,88036.35618,0.838447719,10.314785,100,8.776549,294.770217,1.03071,70%,40%,40%,80%,60%,60%,70%,40%,70%,100%,60%,75%,50%,50%,75%,75%,75%,75%,50%,75%,100%,75%,Midslope with Drainage,851.592792
72,0,None,low,0.024325,None,Moderate-High(50-75%),moderate,Chap/Oak,1345.111966,19.352139,31.707386,1894431.85,716.44066,-5.490308,1344.612561,37.962697,8.382448,299.150845,1.67099,654.523629,0.317808863,10.370149,100,8.965562,296.935272,0.950246,60%,10%,30%,90%,60%,20%,60%,40%,100%,10%,60%,75%,25%,50%,100%,75%,25%,75%,50%,100%,25%,75%,Adjacent to Bed ,840.555577
73,5,High,high,0.492443,High,Moderate-High(50-75%),moderate,Chap,1390.099877,32.311019,32.05615,1190102.777,682.658959,-4.621903,1390.428582,39.490899,5.151993,32.127917,1.055965,35739.21493,-0.329586147,10.812994,100,11.152615,294.60086,1.036473,70%,50%,40%,40%,50%,20%,70%,50%,70%,90%,70%,75%,50%,50%,50%,50%,25%,75%,50%,75%,100%,75%,Midslope ,828.904916
74,1,Very Low,low,0.217897,Low,High (75-100%),high,Chap/Oak,1394.481162,29.529455,31.455012,1639381.649,743.83989,-3.156277,1394.28565,36.686142,5.125145,118.387851,1.016106,32421.1017,0.979667034,9.991328,100,9.650002,302.600963,1.006563,70%,30%,30%,80%,60%,40%,70%,30%,70%,90%,50%,75%,50%,50%,75%,75%,50%,75%,50%,75%,100%,50%,Adjacent to Bed ,846.93787
75,3,Moderate,moderate,0.510117,Moderate,Moderate-High(50-75%),moderate,Chap/Oak,1431.666572,30.242495,31.236272,1926219.745,768.294618,-1.97385,1431.89801,35.631691,4.833521,69.151201,0.923592,10064.70456,0.333451877,9.663289,100,11.435921,308.332206,1.022951,70%,40%,30%,90%,60%,50%,70%,30%,60%,60%,40%,75%,50%,25%,100%,75%,50%,75%,25%,75%,75%,50%,Midslope ,842.421243
76,0,None,low,0.101931,None,Low (5-25%),low,Chap/Oak,1475.939308,34.682197,31.141327,942058.1915,781.011221,2.777295,1475.998051,35.21956,3.547322,318.225284,0.361909,5456.587258,0.521237796,9.497299,100,14.096205,310.292106,1.100398,80%,70%,30%,20%,60%,100%,80%,30%,10%,40%,40%,100%,75%,25%,25%,75%,100%,100%,25%,25%,50%,50%,Midslope ,831.007041
77,1,Very Low,low,0.17882,Low,High (75-100%),high,Chap/Oak,1469.794318,32.566122,31.077672,1431706.621,785.7742,-3.479057,1469.54384,35.042144,5.518454,198.27336,1.070695,70046.84599,-0.023100389,9.44887,100,13.923842,310.398484,1.047923,80%,50%,30%,70%,70%,30%,80%,30%,80%,100%,40%,100%,50%,25%,75%,75%,50%,100%,25%,100%,100%,50%,Midslope with Drainage,831.043203
85,3,Moderate,moderate,0.433576,Moderate,Moderate-High(50-75%),moderate,Chap/Oak,1486.045824,28.546337,30.906912,1120599.313,859.94659,-2.391288,1485.702902,34.270684,5.296301,212.276518,1.012278,44248.62178,0.987683373,9.092059,100,13.744669,300.958048,1.067408,80%,30%,20%,40%,70%,50%,80%,20%,80%,90%,30%,100%,25%,25%,50%,75%,50%,100%,25%,75%,100%,25%,Midslope ,811.659448
86,0,None,low,0.048811,None,Moderate-High(50-75%),moderate,Chap,1489.47128,23.680031,30.706339,1124422.107,849.512842,-3.731418,1490.318316,34.000551,4.828995,92.407237,0.903594,2752.022827,0.798575489,9.078099,100,13.577843,288.903401,1.074528,90%,10%,20%,40%,70%,30%,90%,20%,60%,30%,30%,100%,25%,25%,50%,75%,25%,100%,25%,75%,25%,25%,Midslope,821.615843
87,0,None,low,0.190773,None,Moderate (25-50%),moderate_low,Chap/Oak,1478.998482,33.647056,30.740045,957464.1724,853.680989,-3.074692,1479.088392,34.088304,4.396668,128.042243,0.760709,7239.168868,-0.908291209,9.077708,100,13.444473,294.614371,1.062227,80%,60%,20%,20%,70%,40%,80%,20%,40%,50%,30%,100%,75%,25%,25%,75%,50%,100%,25%,50%,50%,25%,Midslope,817.633277
88,0,None,low,0.335606,None,Moderate (25-50%),moderate_low,Chap/Oak,1433.343072,30.712653,31.062204,1033605.116,848.414039,-5.625102,1433.658131,34.181674,4.838348,24.136051,1.147151,6015.347925,0.980465727,9.071117,100,14.028149,293.142486,0.997958,80%,40%,30%,30%,70%,20%,80%,20%,60%,50%,30%,75%,50%,25%,25%,75%,25%,75%,25%,75%,50%,25%,Adjacent to Bed,837.066176
89,2,Low,ml,0.193289,Low,Moderate-High(50-75%),moderate,Chap/Oak,1461.176394,33.882545,31.223606,1132067.364,852.943632,0.19386,1460.653446,34.837098,4.695868,327.036578,0.824126,8557.179315,0.065137092,9.270476,100,13.342017,292.812063,1.088871,80%,60%,30%,40%,70%,90%,80%,30%,50%,60%,30%,100%,75%,25%,50%,75%,100%,100%,25%,50%,75%,50%,Midslope with Drainage,829.315866
90,5,High,high,0.200804,High,Moderate-High(50-75%),moderate,Chap,1430.940049,36.963788,31.146489,901641.0625,847.719499,-1.792926,1430.431312,34.417401,3.698065,351.652301,0.525178,2058.033094,0.549864055,9.158802,100,13.865358,293.645643,1.034737,70%,90%,30%,20%,70%,60%,70%,20%,10%,20%,30%,75%,100%,25%,25%,75%,75%,75%,25%,25%,25%,25%,Midslope,840.822035
91,1,Very Low,low,0.299312,Low,Moderate (25-50%),moderate_low,Chap,1406.783413,20.469342,31.293543,1120850.499,848.361094,-5.480572,1406.848028,34.985046,6.381207,199.357925,1.503392,6149.912719,0.873069552,9.33586,100,13.302474,294.121521,0.977619,70%,10%,30%,40%,70%,20%,70%,30%,100%,50%,40%,75%,25%,25%,50%,75%,25%,75%,25%,100%,50%,50%,Adjacent to Bed ,840.694376
92,0,None,low,-0.151401,None,Moderate-High(50-75%),moderate,Chap/Oak,1462.809088,29.155251,31.320089,1573677.403,862.204875,-2.6778,1462.84995,35.451518,4.862567,179.5999,0.840982,10946.63443,0.152397322,9.417069,100,13.754898,299.342828,1.071863,80%,30%,30%,70%,70%,40%,80%,30%,60%,60%,40%,100%,50%,25%,75%,75%,50%,100%,25%,75%,75%,50%,Midslope with Drainage,812.4553
93,0,None,low,0.264833,None,Moderate-High(50-75%),moderate,Chap,1423.029493,25.90814,31.431736,1179779.902,860.119616,-7.39923,1422.297528,35.98024,5.253977,179.776024,1.001732,5352.531338,0.323207998,9.567668,100,12.232082,302.351529,1.009274,70%,20%,30%,40%,70%,10%,70%,30%,70%,40%,40%,75%,25%,50%,50%,75%,25%,75%,25%,75%,50%,50%,Midslope with Drainage,825.19417
94,5,High,high,0.553542,High,Moderate-High(50-75%),moderate,Chap,1397.124601,20.263844,31.482306,1257980.272,857.377771,-5.905699,1397.124601,36.523902,6.157811,317.225302,1.232229,3150.427354,-0.436478823,9.738297,100,11.17386,306.35788,0.975614,70%,10%,30%,50%,70%,10%,70%,30%,100%,30%,50%,75%,25%,50%,50%,75%,25%,75%,50%,100%,50%,50%,Adjacent to Bed,835.139417
95,0,None,low,0.16255,None,Moderate-High(50-75%),moderate,Chap/Oak,1451.431745,27.02287,31.359037,1395437.038,873.875231,-2.776205,1450.954593,36.051849,5.64327,232.03827,1.10161,32144.84626,0.728213502,9.577513,100,13.219536,308.33953,1.040725,80%,20%,30%,60%,70%,40%,80%,30%,90%,90%,40%,75%,25%,25%,75%,75%,50%,75%,50%,100%,100%,50%,Midslope with Drainage,819.970277
96,0,None,low,0.115709,None,High (75-100%),high,Chap,1446.738764,28.057297,31.340066,1724839.369,878.104416,-3.26926,1446.960242,36.476483,5.402725,224.106242,1.008449,26308.83432,0.626487353,9.734511,100,12.81358,310.401071,1.03209,80%,30%,30%,80%,80%,30%,80%,30%,80%,80%,50%,75%,25%,25%,100%,75%,50%,75%,50%,75%,100%,50%,Midslope with Drainage,828.978062
97,2,Low,ml,0.156008,Low,Moderate-High(50-75%),moderate,Chap/Oak,1499.511917,34.124033,31.290308,1143427.633,883.897751,-1.829696,1499.316867,36.51544,4.780006,222.193,0.87974,27118.2731,-0.944544154,9.755414,100,13.654923,310.946354,1.0924,90%,60%,30%,40%,80%,60%,90%,30%,50%,80%,50%,100%,75%,25%,50%,75%,75%,100%,50%,50%,100%,50%,Upmost,822.950612
98,2,Low,ml,0.219401,Low,Moderate-High(50-75%),moderate,Chap/Oak,1464.049977,28.25817,31.323343,1537519.02,879.639001,-2.23357,1464.128327,36.646933,5.22042,165.624815,0.906378,36741.39757,-0.95077301,9.763312,100,12.40949,307.593198,1.050653,80%,30%,30%,70%,80%,50%,80%,30%,70%,90%,50%,100%,25%,25%,75%,75%,50%,100%,50%,75%,100%,50%,Midslope with Drainage,829.97606
99,1,Very Low,low,0.128368,Low,Moderate-High(50-75%),moderate,Chap/Oak,1399.708142,24.176763,31.50457,1885871.611,859.543182,-5.48879,1399.459651,36.948383,6.020976,191.776956,1.074456,11103.02936,-0.234127607,9.884885,100,10.781512,309.75173,0.977724,70%,10%,30%,90%,70%,20%,70%,30%,90%,60%,50%,75%,25%,50%,100%,75%,25%,75%,50%,100%,75%,50%,Valley/River Bottom,846.038904
100,0,None,low,0.190915,None,Moderate-High(50-75%),moderate,Chap/Oak,1408.683602,33.470226,31.617175,1506633.804,851.043392,-1.530422,1406.934666,37.281636,3.541039,315.468905,0.288732,1236.032177,-0.803715998,9.939997,100,11.294777,309.393386,1.01842,70%,60%,30%,70%,70%,60%,70%,40%,10%,20%,50%,75%,75%,50%,75%,75%,75%,75%,50%,25%,25%,50%,Adjacent to Bed,836.485168
101,2,Low,ml,0.338868,Low,High (75-100%),high,Chap/Oak,1438.14983,29.261609,31.486889,1705564.424,864.615917,-3.984349,1438.127756,36.95627,5.180442,203.544223,1.011534,20178.27098,-0.860079126,9.798934,100,11.603293,304.420154,1.023166,80%,30%,30%,80%,70%,30%,80%,30%,70%,80%,50%,75%,50%,50%,100%,75%,25%,75%,50%,75%,75%,50%,Valley/River Bottom,820.894311
102,5,High,high,0.35797,High,Moderate-High(50-75%),moderate,Chap/Oak,1423.731603,26.998029,31.565922,2295667.116,856.396669,-1.706382,1422.845953,37.143511,5.242639,262.66003,0.863689,3685.168135,0.999236402,9.886558,100,11.398811,307.831361,1.030998,70%,20%,30%,100%,70%,60%,70%,40%,70%,40%,50%,75%,25%,50%,100%,75%,75%,75%,50%,75%,50%,50%,Midslope with Drainage,831.997942
104,2,Low,ml,0.421461,Low,Moderate (25-50%),moderate_low,Chap/Oak,1297.794491,36.8391,31.874939,920964.702,935.489772,-0.332308,1297.385299,36.575318,6.143257,283.570102,1.45431,11247.18441,-0.435539849,9.566899,100,17.169326,305.421852,1.117376,50%,80%,40%,20%,90%,80%,50%,30%,90%,60%,40%,50%,100%,50%,25%,100%,100%,50%,50%,100%,75%,50%,Midslope,827.443649
105,1,Very Low,low,0.488313,Low,High (75-100%),high,Chap/Oak,1191.772693,35.369155,31.999792,1006466.887,934.699159,-1.083042,1191.493655,37.065302,5.911483,273.457659,1.37866,38443.00682,-0.234813919,9.907872,100,14.403588,304.205356,1.060459,20%,70%,40%,30%,90%,70%,20%,40%,90%,90%,50%,25%,75%,50%,25%,100%,75%,25%,50%,100%,100%,50%,Midslope,806.472141
107,2,Low,ml,0.529328,Low,High (75-100%),high,Chap/Oak,1168.510798,35.744711,32.195886,1178430.364,934.45039,-1.756305,1168.541913,37.838534,5.302548,196.330077,1.261402,53943.50629,-0.922769707,10.005962,100,13.459895,307.746358,1.043974,20%,80%,40%,40%,90%,60%,20%,40%,80%,100%,50%,25%,75%,50%,50%,100%,75%,25%,50%,75%,100%,50%,Midslope with Drainage,807.896502
108,5,High,high,0.632798,High,High (75-100%),high,Chap,1112.904076,32.819581,32.568863,1160487.977,931.253253,0.125341,1112.48687,39.219103,4.933003,229.222187,1.006973,103662.6603,-0.470804093,10.35983,100,12.843434,306.392553,1.03807,10%,50%,50%,40%,90%,90%,10%,50%,60%,100%,60%,25%,50%,50%,50%,100%,100%,25%,50%,75%,100%,75%,Midslope,816.739443
109,5,High,high,0.487566,High,Moderate-High(50-75%),moderate,Chap,1272.850948,37.612304,32.114401,1722580.313,924.123523,-0.012403,1276.542138,36.648845,4.104559,55.165047,0.636096,13946.72581,0.982202051,10.245278,100,16.230098,297.357623,1.151389,40%,90%,40%,80%,90%,80%,40%,30%,30%,70%,60%,50%,100%,50%,100%,100%,100%,50%,50%,25%,75%,75%,Upmost,808.665151
110,0,None,low,0.421272,None,Low (5-25%),low,Chap,979.403766,34.782651,32.97169,1596394.605,923.17142,2.125951,979.403766,40.493925,3.459256,310.574261,0.342127,2998.997842,-0.730829865,10.963498,100,12.469615,307.804864,0.966246,10%,70%,60%,80%,80%,100%,10%,60%,10%,30%,70%,25%,75%,75%,75%,100%,100%,25%,75%,25%,50%,75%,Midslope,835.876603
111,2,Low,ml,0.314023,Low,Moderate-High(50-75%),moderate,Chap,963.63796,37.034784,32.93042,1294501.52,920.840326,-1.219482,964.784346,40.181972,4.20864,33.418993,0.799488,6607.373891,-0.998424291,11.118549,100,12.677535,310.905412,0.929157,10%,90%,60%,50%,80%,70%,10%,50%,30%,50%,80%,25%,100%,75%,50%,100%,75%,25%,50%,25%,50%,75%,Midslope,841.061557
112,2,Low,ml,0.549646,Low,High (75-100%),high,Chap/Oak,1254.088874,37.631922,32.322412,1109651.565,915.38557,-0.914683,1255.131113,36.874497,4.803316,149.192609,0.919238,20519.70484,0.917452421,10.574023,100,17.914051,290.593875,1.13456,40%,90%,50%,40%,80%,70%,40%,30%,60%,80%,70%,50%,100%,50%,50%,100%,75%,50%,50%,75%,75%,75%,Upmost,803.896565
113,5,High,Low,0.676644,High,High (75-100%),high,Chap,1104.514696,36.905217,32.603827,947516.8843,913.870228,-0.884981,1105.142793,37.953152,5.390032,248.961176,1.224586,69673.03697,0.388710022,11.024424,100,15.696127,297.96965,1.047183,10%,80%,50%,20%,80%,70%,10%,40%,80%,100%,70%,25%,100%,50%,25%,100%,75%,25%,50%,75%,100%,75%,Midslope,814.72744
114,5,High,high,0.515807,High,Moderate-High(50-75%),moderate,Chap,994.716492,33.585536,32.814583,1055998.678,920.48948,0.234124,994.454484,39.661857,4.926859,84.271324,0.847212,16133.23933,-0.800304515,11.135437,100,12.742167,312.310824,0.972017,10%,60%,60%,30%,80%,90%,10%,50%,60%,70%,80%,25%,75%,75%,50%,100%,100%,25%,50%,75%,75%,75%,Adjacent to Bed,840.475462
115,5,High,high,0.406776,High,Moderate (25-50%),moderate_low,Chap/Oak,1254.785084,41.67234,32.330326,1143816.076,909.898544,-2.459666,1254.415649,36.811253,4.260219,320.789322,0.858459,14537.17591,0.029249762,10.483531,100,17.50526,288.604612,1.136452,40%,100%,50%,40%,80%,50%,40%,30%,30%,70%,60%,50%,100%,50%,50%,100%,50%,50%,50%,50%,75%,75%,Upmost,797.247259
116,5,High,high,0.728181,High,High (75-100%),high,Chap,1246.235111,31.019843,32.674614,1139828.384,934.291829,-0.282812,1246.192053,38.310455,5.314121,183.975437,0.969465,168766.5954,-0.983145585,9.841634,100,16.073644,305.411711,1.088205,30%,40%,50%,40%,90%,80%,30%,40%,80%,100%,50%,50%,50%,50%,50%,100%,100%,50%,50%,75%,100%,50%,Upmost,803.687768
117,3,Moderate,moderate,0.661876,Moderate,High (75-100%),high,Chap/Oak,1183.855696,30.990382,32.640783,985914.6773,933.421902,-0.85899,1183.659966,39.117329,5.76663,48.624841,1.167414,40721.97168,0.902192525,10.082867,100,14.68593,304.882249,1.054973,20%,40%,50%,20%,90%,70%,20%,50%,90%,90%,50%,25%,50%,50%,25%,100%,75%,25%,50%,100%,100%,50%,Midslope,803.946491
118,3,Moderate,moderate,0.661867,Moderate,High (75-100%),high,Chap,1221.459175,32.564076,32.945016,1142004.497,928.69587,-1.002299,1221.990274,38.679095,4.950768,166.118235,0.879619,67416.07513,-0.690587401,10.123906,100,16.493025,298.781491,1.073372,30%,50%,60%,40%,90%,70%,30%,50%,60%,100%,50%,25%,50%,75%,50%,100%,75%,25%,50%,75%,100%,50%,Midslope,792.064424
119,2,Low,ml,0.550235,Low,High (75-100%),high,Chap,1097.137817,31.813285,33.564247,1343158.228,921.653138,-2.185511,1097.333979,41.047987,4.931553,102.616296,0.953591,39438.12958,-0.990436688,10.917805,100,15.452379,301.967603,0.992573,10%,50%,70%,60%,80%,50%,10%,60%,60%,90%,70%,25%,50%,75%,75%,100%,50%,25%,75%,75%,100%,75%,Midslope with Drainage,827.452633
